"Inequality-adjusted HDI (IHDI)"
"Dimension: Inequality"
"Definition: HDI value adjusted for inequalities in the three basic dimensions of human development. See Technical note 2 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details on how the IHDI is calculated."
"Source: Calculated as the geometric mean of the values in the inequality-adjusted life expectancy index, inequality-adjusted education index and inequality-adjusted income index using the methodology in Technical note 2 (available at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf)."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"51"," Kazakhstan","0.661","","0.680","","0.675","","0.697","","0.703","","0.724","","0.744","","0.750","","0.761","","0.766",""
"143"," Kenya","0.375","","0.371","","0.376","","0.385","","0.398","","0.414","","0.435","","0.438","","0.441","","0.443",""
"134"," Kiribati","..","","..","","..","","0.417","","0.423","","0.418","","0.419","","..","","..","","0.516",""
"23"," Korea (Republic of)","0.741","","0.747","","0.750","","0.745","","0.756","","0.759","","0.780","","0.781","","0.784","","0.815",""
"120"," Kyrgyzstan","0.562","","0.568","","0.559","","0.562","","0.587","","0.605","","0.623","","0.625","","0.629","","0.630",""
"137"," Lao People's Democratic Republic","0.415","","0.436","","0.434","","0.439","","0.439","","0.436","","0.447","","0.449","","0.458","","0.461",""
"37"," Latvia","0.733","","0.738","","0.742","","0.750","","0.754","","0.760","","0.765","","0.769","","0.785","","0.783",""
"92"," Lebanon","..","","0.593","","0.586","","0.599","","0.592","","0.587","","..","","..","","..","","..",""
"165"," Lesotho","0.304","","0.301","","0.307","","0.315","","0.320","","0.324","","0.354","","0.357","","0.352","","0.382",""
"175"," Liberia","0.285","","0.305","","0.304","","0.316","","0.312","","0.318","","0.327","","0.329","","0.325","","0.325",""
"34"," Lithuania","0.736","","0.756","","0.749","","0.757","","0.772","","0.772","","0.776","","0.770","","0.781","","0.791",""
"23"," Luxembourg","0.817","","0.829","","0.835","","0.832","","0.832","","0.833","","0.820","","0.818","","0.827","","0.826",""
"164"," Madagascar","0.362","","0.354","","0.356","","0.359","","0.379","","0.381","","0.388","","0.390","","0.391","","0.390",""
"174"," Malawi","0.292","","0.300","","0.306","","0.311","","0.312","","0.322","","0.328","","0.329","","0.341","","0.345",""
"95"," Maldives","0.579","","0.522","","0.526","","0.529","","0.539","","0.546","","0.551","","0.560","","0.579","","0.584",""
"184"," Mali","0.252","","..","","..","","..","","0.270","","0.277","","0.286","","0.282","","0.297","","0.289",""
"28"," Malta","..","","..","","0.790","","0.795","","0.800","","0.809","","0.812","","0.815","","0.822","","0.823",""
"157"," Mauritania","0.327","","0.335","","0.339","","0.340","","0.354","","0.362","","0.363","","0.362","","0.368","","0.371",""
"66"," Mauritius","..","","0.659","","0.668","","0.668","","0.677","","0.676","","0.682","","0.690","","0.691","","0.694",""
"74"," Mexico","0.591","","0.578","","0.581","","0.583","","0.590","","0.590","","0.601","","0.607","","0.601","","0.613",""
"136"," Micronesia (Federated States of)","0.367","","0.371","","..","","..","","..","","..","","..","","..","","..","","..",""
"90"," Moldova (Republic of)","0.617","","0.631","","0.642","","0.645","","0.658","","0.661","","0.662","","0.666","","0.669","","0.672",""
"99"," Mongolia","0.590","","0.611","","0.604","","0.644","","0.638","","0.640","","0.629","","0.629","","0.635","","0.634",""
"48"," Montenegro","0.723","","0.750","","0.747","","0.752","","0.737","","0.744","","0.748","","0.749","","0.755","","0.749",""
"121"," Morocco","0.443","","0.440","","0.446","","0.453","","0.458","","0.464","","..","","..","","..","","..",""
"181"," Mozambique","0.219","","0.282","","0.271","","0.294","","0.279","","0.290","","0.297","","0.300","","0.313","","0.316",""
"147"," Myanmar","..","","..","","..","","..","","..","","..","","..","","0.461","","0.444","","..",""
"130"," Namibia","0.328","","0.340","","0.346","","0.352","","0.356","","0.413","","0.417","","0.420","","0.417","","0.418",""
"142"," Nepal","0.366","","0.358","","0.368","","0.405","","0.422","","0.425","","0.433","","0.438","","0.442","","0.446",""
"8"," Netherlands","0.842","","0.863","","0.864","","0.868","","0.870","","0.870","","0.867","","0.865","","0.878","","0.878",""
"14"," New Zealand","..","","..","","..","","..","","..","","..","","..","","0.855","","0.843","","0.859",""
"128"," Nicaragua","0.469","","0.455","","0.459","","0.470","","0.493","","0.484","","0.499","","0.510","","0.508","","0.505",""
"189"," Niger","0.219","","0.223","","0.230","","0.241","","0.258","","0.267","","0.272","","0.273","","0.282","","0.284",""
"161"," Nigeria","0.281","","0.299","","0.293","","0.310","","0.325","","0.327","","0.332","","0.347","","0.349","","0.348",""
"82"," North Macedonia","0.619","","0.624","","0.638","","0.649","","0.629","","0.634","","0.640","","0.670","","0.669","","0.681",""
"1"," Norway","0.878","","0.889","","0.881","","0.892","","0.893","","0.895","","0.878","","0.877","","0.891","","0.899",""
"60"," Oman","..","","..","","..","","..","","..","","..","","..","","..","","0.706","","0.706",""
"154"," Pakistan","0.351","","0.354","","0.358","","0.366","","0.371","","0.370","","0.378","","0.379","","0.380","","0.384",""
"115"," Palestine, State of","..","","..","","..","","0.614","","0.593","","0.595","","0.600","","0.601","","0.612","","0.613",""
"57"," Panama","0.555","","0.588","","0.592","","0.616","","0.616","","0.623","","0.638","","0.640","","0.640","","0.643",""
"155"," Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.390",""
"103"," Paraguay","0.524","","0.533","","..","","0.541","","0.557","","0.546","","0.560","","0.541","","0.564","","0.557",""
"79"," Peru","0.500","","0.564","","0.562","","0.572","","0.582","","0.595","","0.612","","0.620","","0.622","","0.628",""
"107"," Philippines","0.544","","0.541","","0.547","","0.566","","0.570","","0.571","","0.578","","0.581","","0.582","","0.587",""
"35"," Poland","0.750","","0.763","","0.758","","0.771","","0.774","","0.781","","0.787","","0.794","","0.806","","0.813",""
"38"," Portugal","0.730","","0.748","","0.746","","0.755","","0.759","","0.766","","0.736","","0.742","","0.751","","0.761",""
"49"," Romania","0.708","","0.704","","0.702","","0.723","","0.727","","0.724","","0.724","","0.726","","0.732","","0.730",""
"52"," Russian Federation","0.691","","0.701","","..","","0.706","","0.722","","0.730","","0.737","","0.742","","0.742","","0.740",""
"160"," Rwanda","0.310","","0.321","","0.336","","0.344","","0.356","","0.358","","0.369","","0.374","","0.385","","0.387",""
"86"," Saint Lucia","..","","..","","..","","..","","0.618","","0.628","","0.634","","0.632","","0.628","","0.629",""
"135"," Sao Tome and Principe","..","","0.389","","0.391","","0.401","","0.445","","0.455","","0.487","","0.496","","0.519","","0.520",""
"168"," Senegal","0.299","","0.311","","0.326","","0.331","","0.327","","0.339","","0.347","","0.344","","0.348","","0.348",""
"64"," Serbia","0.684","","0.703","","0.701","","0.693","","0.705","","0.701","","0.676","","0.676","","0.714","","0.705",""
"67"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.670",""
"182"," Sierra Leone","0.242","","0.237","","0.246","","0.241","","0.255","","0.268","","0.274","","0.282","","0.288","","0.291",""
"11"," Singapore","..","","..","","..","","..","","..","","..","","..","","0.816","","0.811","","0.813",""
"39"," Slovakia","0.775","","0.791","","0.791","","0.792","","0.794","","0.798","","0.794","","0.797","","0.805","","0.807",""
"22"," Slovenia","0.828","","0.844","","0.833","","0.841","","0.841","","0.841","","0.850","","0.856","","0.868","","0.875",""
"151"," Solomon Islands","..","","..","","..","","0.425","","0.426","","0.429","","..","","..","","..","","..",""
"114"," South Africa","0.457","","..","","..","","..","","0.446","","0.458","","0.469","","0.471","","0.464","","0.468",""
"185"," South Sudan","..","","..","","..","","..","","..","","..","","..","","0.271","","0.274","","0.276",""
"25"," Spain","0.787","","0.799","","0.792","","0.786","","0.786","","0.801","","0.759","","0.764","","0.775","","0.783",""
"72"," Sri Lanka","0.625","","0.637","","0.651","","0.659","","0.683","","0.686","","0.686","","0.668","","0.685","","0.673",""
"170"," Sudan","..","","..","","..","","..","","..","","..","","0.323","","0.332","","0.331","","0.333",""
"97"," Suriname","0.537","","0.546","","0.562","","0.556","","0.559","","0.563","","0.570","","0.567","","0.567","","0.535",""
"7"," Sweden","0.849","","0.859","","0.857","","0.873","","0.873","","0.875","","0.873","","0.872","","0.880","","0.882",""
"2"," Switzerland","0.874","","0.875","","0.878","","0.873","","0.873","","0.866","","0.873","","0.875","","0.889","","0.889",""
"151"," Syrian Arab Republic","0.532","","0.539","","0.528","","0.470","","0.438","","0.420","","0.415","","..","","..","","..",""
"125"," Tajikistan","0.516","","0.524","","0.524","","0.528","","0.538","","0.553","","0.562","","0.568","","0.578","","0.584",""
"163"," Tanzania (United Republic of)","0.344","","0.347","","0.360","","0.363","","0.366","","0.383","","0.391","","0.393","","0.393","","0.397",""
"79"," Thailand","0.571","","0.576","","0.579","","0.582","","0.589","","0.593","","0.629","","0.645","","0.641","","0.646",""
"141"," Timor-Leste","0.418","","0.432","","0.428","","0.437","","0.429","","0.420","","0.418","","0.433","","0.431","","0.436",""
"167"," Togo","0.312","","0.318","","0.320","","0.328","","0.328","","0.340","","0.345","","0.346","","0.348","","0.351",""
"67"," Trinidad and Tobago","0.662","","0.663","","0.661","","0.664","","0.665","","0.671","","0.674","","..","","..","","..",""
"95"," Tunisia","0.535","","0.538","","..","","..","","0.566","","0.565","","0.570","","0.572","","0.584","","0.596",""
"54"," Turkey","0.564","","0.584","","0.593","","0.662","","0.670","","0.673","","0.684","","0.688","","0.685","","0.683",""
"111"," Turkmenistan","0.491","","..","","..","","..","","..","","..","","0.569","","0.571","","0.578","","0.586",""
"159"," Uganda","0.338","","0.335","","0.336","","0.355","","0.362","","0.363","","0.372","","0.382","","0.395","","0.399",""
"74"," Ukraine","0.693","","0.690","","0.694","","0.697","","0.711","","0.710","","0.716","","0.721","","0.723","","0.728",""
"13"," United Kingdom","0.824","","0.830","","0.829","","0.839","","0.845","","0.849","","0.827","","0.839","","0.852","","0.856",""
"17"," United States","0.812","","0.778","","0.806","","0.759","","0.763","","0.796","","0.799","","0.797","","0.801","","0.808",""
"55"," Uruguay","0.657","","0.660","","0.663","","0.671","","0.687","","0.679","","0.691","","0.697","","0.710","","0.712",""
"106"," Uzbekistan","0.565","","0.575","","0.576","","0.582","","0.586","","0.590","","0.612","","..","","..","","..",""
"140"," Vanuatu","..","","..","","..","","..","","0.492","","0.495","","0.498","","0.498","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","0.597","","0.565","","0.567","","0.624","","0.622","","0.620","","0.621","","0.621","","0.606","","0.588",""
"117"," Viet Nam","0.553","","0.577","","0.581","","0.579","","0.564","","0.566","","0.573","","0.575","","0.586","","0.588",""
"179"," Yemen","0.333","","0.342","","0.341","","0.342","","0.331","","0.320","","0.325","","0.318","","0.319","","0.321",""
"146"," Zambia","0.361","","0.377","","0.348","","0.362","","0.368","","0.366","","0.377","","0.381","","0.387","","0.401",""
"150"," Zimbabwe","0.338","","0.356","","0.376","","0.391","","0.399","","0.395","","0.426","","0.430","","0.439","","0.441",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42"," Bahrain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"70"," Cuba","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"145"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"64"," Kuwait","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"105"," Libya","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Malaysia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"45"," Qatar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40"," Saudi Arabia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"104"," Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"97"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111"," Samoa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","0.764","","0.766","","0.774","","0.770","","0.776","","0.785","","0.784","","0.792","","0.796","","0.800",""
" ","High human development","0.548","","0.556","","0.562","","0.573","","0.579","","0.584","","0.595","","0.619","","0.615","","0.618",""
" ","Medium human development","0.408","","0.420","","0.422","","0.432","","0.438","","0.449","","0.456","","0.466","","0.507","","0.465",""
" ","Low human development","0.303","","0.312","","0.313","","0.325","","0.331","","0.338","","0.345","","0.347","","0.349","","0.352",""
" ","Developing Countries","0.474","","0.484","","0.487","","0.491","","0.497","","0.504","","0.512","","0.533","","0.547","","0.535",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","0.491","","0.503","","0.513","","0.517","","0.516","","0.504","","0.517","","0.525","","0.531","","0.531",""
" ","East Asia and the Pacific","0.540","","0.550","","0.557","","0.574","","0.581","","0.587","","0.594","","0.622","","0.618","","0.621",""
" ","Europe and Central Asia","0.617","","0.631","","0.633","","0.658","","0.666","","0.672","","0.681","","0.686","","0.689","","0.697",""
" ","Latin America and the Caribbean","0.546","","0.545","","0.550","","0.565","","0.573","","0.577","","0.588","","0.593","","0.589","","0.596",""
" ","South Asia","0.412","","0.424","","0.426","","0.433","","0.440","","0.451","","0.457","","0.472","","0.520","","0.475",""
" ","Sub-Saharan Africa","0.323","","0.331","","0.333","","0.346","","0.351","","0.360","","0.371","","0.373","","0.376","","0.380",""
" ","Least Developed Countries","0.323","","0.333","","0.337","","0.347","","0.352","","0.361","","0.369","","0.376","","0.377","","0.384",""
" ","Small Island Developing States","0.499","","0.509","","0.502","","0.533","","0.536","","0.541","","0.545","","0.552","","0.549","","0.549",""
" ","Organization for Economic Co-operation and Development","0.765","","0.762","","0.769","","0.765","","0.769","","0.778","","0.777","","0.786","","0.790","","0.791",""
" ","World","0.534","","0.542","","0.543","","0.550","","0.554","","0.561","","0.567","","0.583","","0.596","","0.587",""
""
