,year,paid_work_study,paid_work_(all),work_school_travel,in_school,research/homework,job_serach,other_paid_work_study,unpaid_work,routine_housework,shopping,care_for_household_members,child_care,adult_care,care_for_non_household_members,volunteering,household_activity_travel,other_unpaid,personal_care,sleeping,eating_drinking,personal_care_travel,leisure,sports,attending_events,meeting_friends,tv_radio,other_leisure_activities,other,religion,other_(no categories),total
Portugal,1999.0,295.0,234.0,25.0,27.0,9.0,0.0,0.0,223.0,161.0,15.0,17.0,0.0,0.0,7.0,2.0,20.0,0.0,676.0,506.0,112.0,58.0,241.0,12.0,11.0,44.0,114.0,60.0,6.0,5.0,1.0,1440.0
Slovenia,2000.0,265.0,202.0,25.0,21.0,17.0,0.0,0.0,231.0,166.0,18.0,21.0,21.0,0.0,7.0,1.0,18.0,0.0,628.0,501.0,86.0,41.0,311.0,32.0,5.0,62.0,120.0,92.0,6.0,4.0,2.0,1440.0
Spain,2009.0,202.0,151.0,21.0,18.0,8.0,3.0,1.0,217.0,116.0,25.0,35.0,32.0,3.0,6.0,1.0,22.0,12.0,692.0,516.0,126.0,51.0,316.0,42.0,9.0,51.0,129.0,85.0,13.0,4.0,9.0,1440.0
Sweden,2010.0,293.0,231.0,31.0,31.0,0.0,0.0,0.0,196.0,107.0,23.0,33.0,25.0,7.0,0.0,0.0,26.0,7.0,622.0,483.0,83.0,57.0,321.0,34.0,9.0,53.0,113.0,112.0,6.0,0.0,0.0,1440.0
Turkey,2014.0,246.0,186.0,31.0,17.0,12.0,0.0,0.0,186.0,124.0,14.0,29.0,26.0,2.0,2.0,3.0,12.0,3.0,682.0,515.0,118.0,50.0,286.0,9.0,3.0,68.0,124.0,82.0,40.0,33.0,7.0,1440.0
UK,2014.0,262.0,194.0,39.0,14.0,13.0,2.0,1.0,195.0,104.0,29.0,32.0,26.0,6.0,7.0,3.0,20.0,0.0,645.0,508.0,79.0,58.0,306.0,19.0,7.0,47.0,133.0,98.0,32.0,4.0,28.0,1440.0
USA,2016.0,290.0,232.0,22.0,21.0,13.0,2.0,0.0,197.0,102.0,23.0,31.0,29.0,2.0,4.0,6.0,28.0,4.0,646.0,525.0,62.0,59.0,283.0,20.0,6.0,43.0,144.0,70.0,23.0,10.0,13.0,1440.0
China,2008.0,340.0,268.0,47.0,25.0,0.0,0.0,0.0,164.0,103.0,20.0,23.0,0.0,0.0,2.0,1.0,15.0,0.0,694.0,542.0,100.0,52.0,228.0,23.0,2.0,23.0,127.0,53.0,15.0,0.0,15.0,1440.0
India,1998.0,295.0,240.0,32.0,12.0,11.0,0.0,0.0,191.0,148.0,12.0,21.0,0.0,0.0,1.0,0.0,8.0,0.0,687.0,528.0,84.0,75.0,254.0,5.0,5.0,73.0,61.0,109.0,12.0,12.0,0.0,1440.0
South Africa,2010.0,241.0,153.0,36.0,26.0,13.0,0.0,13.0,182.0,130.0,9.0,18.0,17.0,1.0,1.0,2.0,9.0,13.0,695.0,553.0,72.0,70.0,306.0,5.0,5.0,82.0,132.0,82.0,16.0,16.0,0.0,1440.0
